|   ID | Manufacturer_Name                          | City        | State           |
|   85 | RADHAMANI TEXTILES PVT. LTD.              | Bengaluru   | Karnataka       |
|   86 | bgn apparels                             | gurgaon     | Haryana         |
|   87 | INDIAN CONNECTION                         | NEWDELHI    | DELHI           |
|   88 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|   89 | VASTRAMAY PRIVATE LIMITED                 | kolkata     | West Bengal     |
|   90 | INDIAN CONNECTION                         | Delhi       | Delhi           |
|   91 | BG. ENTERPRISES                           | Ludhiana    | Punjab          |
|   92 | ARVIND LIMITED                            | Bengaluru   | Karnataka       |
|   93 | Shree Logistic Services                   | Saharanpur  | Uttar Pradesh   |
|   94 | Arvind Limited                            | Kalol       | Gujarat         |
|   95 | -                                         | Undefined   | -               |
|   96 | Dennison India                            | Gwalior     | Madhya Pradesh  |
|   97 | MR BUTTON PVT LTD                         | NEW DELHI   | Delhi           |
|   98 | Tahvo Designs & Productions              | Gurgaon     | Haryana         |
|   99 | Vastramay                                 | Kolkata     | West Bengal     |
|  100 | ANIRUDH ENTERPRISES                       | Delhi       | Delhi           |
|  101 | Rudraksh Apparel Pvt Ltd                  | New Delhi   | Delhi           |
|  102 | TURTLE LIMITED                            | Howrah      | West Bengal     |
|  103 | Katela Creation                           | Jaipur      | Rajasthan       |
|  104 | Shree Vidyasagar Apparels Pvt Ltd         | Mumbai      | Maharashtra     |
|  105 | SILVER SPARK APPAREL                      | BANGALORE   | Karnataka       |
|  106 | UNITED EXIM PRIVATE LIMITED               | Noida       | Uttar Pradesh   |
|  107 | TAHVO DESIGNS AND PRODUCTIONS PVT. LTD.   | GURGAON     | Haryana         |
|  108 | NZ Seasonalwear PVT LTD.                  | Bhiwandi    | Maharashtra     |
|  109 | NZ SEASONALWEAR PVT LTD.                  | Bhiwandi    | Maharashtra     |
|  110 | Sam Apparels                              | Bangalore   | Karnataka       |
|  111 | Green Apple Venture LLP                   | Bhiwandi    | Maharashtra     |
|  112 | Garg Store                                | Delhi       | Delhi           |
