|   ID | Manufacturer_Name                          | City        | State           |
|  397 | AMIRTHA FASHION                           | Chennai      | Tamil Nadu      |
|  398 | -                                         | Surat        | Gujarat         |
|  399 | GORLYA                                    | Surat        | Gujarat         |
|  400 | Pineapple Impex                           | Surat        | Gujarat         |
|  401 | Odette e-retail private limited.          | Bangalore    | Karnataka       |
|  402 | CHANSI TRENDZ                             | DUMBHAL      | GUJARAT         |
|  403 | Chhabra Triple Five Fashions Pvt Ltd      | Delhi        | Delhi           |
|  404 | Svx Sports                                | Noida        | Uttar Pradesh   |
|  405 | Adamya Knitwears                          | ludhiana     | Punjab          |
|  406 | Trade by us                               | Rithala      | Delhi           |
|  407 | THE DESIGN CELLARS                        | NEW DELHI    | DELHI           |
|  408 | Deepam                                    | Jaipur       | Rajasthan       |
|  409 | Radnik Exports                            | NOIDA        | Uttar Pradesh   |
|  410 | Excel Textile                             | Gurgaon      | Haryana         |
|  411 | PREMIERE RETAIL TRADING PRIVATE LIMITED   | Delhi        | Delhi           |
|  412 | WEDANI LIFESTYLE                          | SURAT        | GUJARAT         |
|  413 | HARPA RETAIL PRIVATE LIMITED              | New Delhi    | Delhi           |
|  414 | PURVAJA                                   | Surat        | Gujarat         |
|  415 | MAYFFEI LIFESTYLE PRIVATE LIMITED         | GURGAON      | HARYANA         |
|  416 | ANOKHI DESIGNER                           | Surat        | GUJARAT         |
|  417 | VISHVAS INTERNATIONAL PVT LTD             | NOIDA        | UP              |
|  418 | Manomay Creation                          | Jaipur       | Rajasthan       |
|  419 | Pimu Collection                           | Sanganer     | Rajasthan       |
|  420 | Stylum Mart Private Limited               | Jaipur       | Rajasthan       |
|  421 | Draax Fashions                            | Noida        | Uttar Pradesh   |
|  422 | Pink December Fashion Pvt Ltd             | JAIPUR       | Rajasthan       |
|  423 | DBS Lifestyle India Private Limited       | Noida        | Uttar Pradesh   |
|  424 | Dream Beauty Fashion/                     | Surat        | Gujarat         |
|  425 | LUEUR VESTURES PVT LTD                    | GURUGRAM     | HARYANA         |
|  426 | Prateek Apparels Pvt Ltd (Hubli)          | Hubli        | Karnataka       |
|  427 | JC JUMMY COUTURE                          | DELHI        | DELHI           |
|  428 | SAANII APPARELS PRIVATE LIMITED           | GURGAON      | HARYANA         |
|  429 | Cutiekins Private Limited                 | New Delhi    | Delhi           |
|  430 | COTLAND FASHION PVT. LTD.                | JAIPUR       | RAJASTHAN       |
|  431 | Summit India                              | Noida        | Uttar Pradesh   |
|  432 | SWARRD                                    | Noida        | UTTAR PRADESH   |
|  433 | Kotty Lifestyle Pvt Ltd                   | Faridabad    | Haryana         |
|  434 | USTAT TRADING LLP                         | Udhna        | Gujarat         |
|  435 | Krislon Synthetics Private LTD.           | Bhiwandi     | Maharashtra     |
|  436 | Hues Moda                                 | New Delhi    | Delhi           |
|  437 | Beena Creation                            | New Delhi    | Delhi           |
|  438 | Shiva International Apparels              | New Delhi    | Delhi           |
|  439 | CHUNMUN STORES PVT LTD                    | New Delhi    | Delhi           |
|  440 | Dream Beauty Fashion/                     | Surat        | Gujarat         |
|  441 | UNAONE CREATIONS                           | GURGAON      | HARYANA         |
|  442 | Vajra Ventures                            | Surat        | Gujarat         |
|  443 | Dadadadeshwar family store llp            | bangalore    | Karnataka       |
|  444 | HIMANSHI ENTERPRISES                      | SANGANER     | RAJASTHAN       |
|  445 | -                                         | Sanganer     | Jaipur          |
|  446 | Romina Retail Pvt. Ltd.                   | Jaipur       | Rajasthan       |
|  447 | WEDANI LIFESTYLE                          | SURAT        | GUJARAT         |
|  448 | RAJA FASHION                              | NEW DELHI    | DELHI           |
|  449 | Kiara for her Clothing Private Limited    | New Delhi    | Delhi           |
|  450 | Wakai Fashion                             | Banglore     | Karnatka        |
|  451 | Ambaji Tex Fab                            | Surat        | Gujarat         |
|  452 | M/S BK Garments                           | Noida        | UP              |
|  453 | T International                           | Gurugram     | Haryana         |
|  454 | Apex Apparels                             | Gurgaon      | Haryana         |
|  455 | P Inspiration                             | Kolkata      | West Bengal     |
|  456 | Winza Designer                            | Surat        | GJ              |
|  457 | Winza Designer                            | Udhna        | Gujrat          |
|  458 | Apex Appales                              | gurgaon      | Haryana         |
|  459 | FABLE STREET LIFESTYLE SOLUTIONS PRIVATE LIMITED | Gurgaon      | Haryana         |
|  460 | Jaiyam Industris LLP                      | Baddi        | Himachal Pradesh|
|  461 | Aditya Birla Fashion and Retail Limited   | Bangalore    | Karnataka       |
|  462 | Mayffei Lifestyle Private Limited         | Gurgaon      | Haryana         |
|  463 | Bewakoof Brands Pvt Ltd                  | Bhiwandi     | Maharashtra     |
|  464 | Deluxe Fabrics(I)Ltd.                    | Ludhiana     | Punjab          |
|  465 | SANYOG INTERNATIONAL                      | Ludhiana     | Punjab          |
|  466 | DOEL WORLDWIDE SUPPLIERS PRIVATE LIMITED  | Ludhiana     | Punjab          |
|  467 | Kautam Knits                              | Tirupur      | Tamil Nadu      |
|  468 | Bodyglove Apparel India                   | Tiruppur     | Tamil Nadu      |
|  469 | Paragon Apparel Pvt. Ltd.                 | Noida        | IN              |
|  470 | Carnation Creations Private Limited       | Coimbatore   | IN              |
|  471 | Go Go International Pvt Ltd               | Bangalore    | IN              |
|  472 | Letshandcraft                             | Mohali       | Punjab          |
|  473 | Cultgear Private Limited                  | Bangalore    | Karnataka       |
|  474 | MAITRI KNITWEAR                           | Ludhiana     | Punjab          |
|  475 | SHIV SUNDARAM                             | Ludhiana     | PUNJAB          |
|  476 | Sunrise Creations                          | Tirupur      | Tamil Nadu      |
|  477 | -                                         | Tirupur      | Tamil Nadu      |
|  478 | SUDITI INDUSTRIES LTD                     | Mumbai       | Maharashtra     |
|  479 | Elcinco Inc                               | Tirupur      | Tamil Nadu      |
|  480 | HANDA CLOTHING INC.                       | LUDHIANA     | PUNJAB          |
|  481 | POPPYS APPARELS                           | Tirupur      | Tamilnadu       |
|  482 | KAY VENTURES PRIVATE LIMITED              | Karur        | Tamilnadu       |
|  483 | QUANTUM KNITS-3 (A UNIT OF KPR MILL LIMITED) | TIRUPPUR     | Tamil Nadu      |
|  484 | Ashwaruthi Apparels                       | Tirupur      | Tamil Nadu      |
|  485 | Aero Armour                               | Kolkata      | West Bengal     |
|  486 | -                                         | Faridabad    | Haryana         |
|  487 | Luckshmi Knits Pvt Ltd - FILMODE          | Coimbatore   | Tamil Nadu      |
|  488 | Tedhi Medhi Family                        | Delhi        | Delhi           |
|  489 | Av universal traderz                      | delhi        | Delhi           |
|  490 | -                                         | vasai-virar  | Maharashtra     |
|  491 | -                                         | noida        | -               |
|  492 | My Swag Hub                               | Faridabad    | Haryana         |
|  493 | PENTAGON CLOTHING COMPANY                 | Tirupur      | Tamilnadu       |
|  494 | PROSOURCE FASHION AND LIFESTYLES PVT LTD  | Gurgaon      | Haryana         |
|  495 | -                                         | B.Komarapalayam| -               |
|  496 | TANPRI TRENDSETTERS PRIVATE LIMITED        | Noida        | UTTAR PRADESH   |
|  497 | TECHNO SPORTSWEAR PVT LTD                 | Tirupur      | Tamil Nadu      |
|  498 | ARMOUR TEXTILES                           | TIRUPUR      | Tamil Nadu      |
|  499 | Fairway Fashions                          | Tirupur      | Tamil Nadu      |
|  500 | COLOR CAPITAL                             | Indore       | Madhya Pradesh  |
|  501 | SHAKTHI KNITTING PRIVATE LIMITED          | TIRUPUR      | Tamil Nadu      |
|  502 | -                                         | mayapuri     | Delhi           |
|  503 | ARVIND LIMITED (JEANS DIVISION)           | Bangalore    | IN              |
|  504 | WONDERBLUES APPARELS PVT LTD              | Bengaluru    | Karnataka       |
|  505 | Aadvi fashion                             | delhi        | Delhi           |
|  506 | Bespoke Clothing                          | Bengaluru    | Karnataka       |
|  507 | Shell Apparels Pvt Ltd.                  | Bangalore    | IN              |
|  508 | Kotty Lifestyle Pvt Ltd                   | Faridabad    | Haryana         |
|  509 | RND APPARELS INDIA PRIVATE LIMITED         | Noida        | Uttar pradesh   |
|  510 | 1DAYJEANS                                 | Shahdara     | Delhi           |
|  511 | Divine Creation                           | New Delhi    | Delhi           |
|  512 | Perfect Outlet                            | Shahdara     | Delhi           |
|  513 | AAA TEXTILES PRIVATE LIMITED              | Theni        | Tamilnadu       |
|  514 | AQUA                                      | Mumbai       | Maharashtra     |
|  515 | Aditya Birla Fashion & Retail Ltd         | Mumbai       | Maharashtra     |
|  516 | Taurus Clothing Co. Pvt. Ltd.             | Noida        | Uttar Pradesh   |
|  517 | -                                         | newdelhi     | Delhi           |
|  518 | Ambaji Texfab                             | Surat        | Gujarat         |
|  519 | RAJLAXMI HOME PRODUCTS PRIVATE LIMITED    | Mumbai       | Maharashtra     |
|  520 | Leemboodi Fashion                         | Surat        | GUJARAT         |
|  521 | VIBE VISION                               | Surat        | Gujarat         |
|  522 | RANGDEEP APPARELS                         | Jaipur       | RAJASTHAN       |
|  523 | Gostyle                                   | Surat        | Gujarat         |
|  524 | Deebaco                                   | Noida        | U.P             |
|  525 | Jalan House                               | Surat        | Gujarat         |
|  526 | Trade by us                               | Rithala      | Delhi           |
|  527 | NAINVISH LIFESTYLE                        | UDHNA        | GUJARAT         |
|  528 | Wrap Fashion Pvt Ltd                      | Noida        | U.P.            |
|  529 | Keev Lifestyles Private Limited            | Surat        | Gujarat         |
|  530 | -                                         | Lajpat Nagar | Delhi           |
|  531 | K.P.FASHION                               | SACHIN       | SURAT           |
|  532 | Creative Designs                          | Jaipur       | Rajasthan       |
|  533 | FAB GALAXY PRIVATE LIMITED                | SURAT        | GUJARAT         |
|  534 | JMD TEXTILES                              | HOWRAH       | WEST BENGAL     |
|  535 | MANOJAVA                                  | Sanganer     | Jaipur          |
|  536 | Veer creation                             | indore       | Madhya Pradesh  |
|  537 | Gayatri Apparel                           | Jaipur       | Rajasthan       |
|  538 | DEVSHRI CLOTHING PRIVATE LIMITED          | Indore       | Madhya Pradesh  |
|  539 | Mannat Fashionables                       | Delhi        | Delhi           |
|  540 | INCITYSTYLE                               | Surat        | Gujarat         |
|  541 | Brand Baaja Bride LLP                     | Surat        | Gujarat         |
|  542 | Opus Apparels LLP                         | Surat        | Gujarat         |
|  543 | INDDUSINC EXIM PVT. LTD.                  | Surat        | Gujarat         |
|  544 | Tradyl Private Limited                    | Bengaluru    | Karnataka       |
|  545 | Apex Apparels                             | Gurgaon      | Haryana         |
|  546 | ATCHAYA GAREMENTS                         | Tirupur      | Tamilnadu       |
|  547 | RANGDEEP APPARELS                         | Jaipur       | Rajasthan       |
|  548 | Periwinkle Designs                        | Noida        | UP              |
|  549 | Eternal Clothing Line                     | Surat        | Gujarat         |
|  550 | KAAJAL BY VIDHI                            | Mumbai       | Maharashtra     |
|  551 | Sera Group                                | Gurgaon           | Haryana           |
|  552 | CAPDAZZ LIFESTYLE LLP                     | Surat             | Gujarat           |
|  553 | Mint Fashion Pvt Ltd                      | Greater Noida     | Uttar Pradesh     |
|  554 | Apex Apparels                             | Delhi             | Delhi             |
|  555 | Apex Apparels                             | Delhi             | Delhi             |
|  556 | Aditya Birla Fashion and Retail           | Bangalore         | Karnataka         |
|  557 | Aditya Birla Fashion & Retail Ltd.        | Mumbai            | Maharashtra       |
|  558 | Home Candy                                | Panipat           | Haryana           |
|  559 | Meraki Clothing Pvt Ltd.                  | Bengaluru         | Karnataka         |
|  560 | Lavian LLP                                | Bangalore         | Karnataka         |
|  561 | Googo Gaaga Online Services Pvt Ltd       | New Delhi         | Delhi             |
|  562 | Durakart Marketing Private Limited        | Kolkata           | West Bengal       |
|  563 | Vardhman Wool Store                       | Panipat           | Haryana           |
|  564 | Vardhman Wool Store                       | Panipat           | Haryana           |
|  565 | Bodyglove Apparel India                   | Tiruppur          | Tamil Nadu        |
|  566 | Durakart Marketing Private Limited        | Kolkata           | West Bengal       |
|  567 | Combine Sales Pvt Ltd                     | Indore            | Madhya Pradesh    |
|  568 | Radhamani Textiles Pvt. Ltd.              | Bengaluru         | Karnataka         |
|  569 | Delta Clothing                            | MUMBAI            | MAHARASHTRA       |
|  570 | Terva Corporation                         | Ankleshwar        | GUJARAT           |
|  571 | Dutt Creation                             | Surat             | Gujarat           |
|  572 | TOPMAN INTERNATIONAL LTD                  | Mumbai            | Maharashtra       |
|  573 | BHAVI GARMENTS                            | Ahmedabad         | Gujarat           |
|  574 | shvd                                      | surat             | Gujarat           |
|  575 | Sri Manchammadevi Enterprises             | Bangalore         | Karnataka         |
|  576 | FASHION GRAB INDIA PVT LTD                | Mumbai            | Maharashtra       |
|  577 | SANJAY VINUBHAI DHAMELIYA                 | Surat             | Gujarat           |
|  578 | Terva Corporation                         | Ankleshwar        | GUJARAT           |
|  579 | M/S. Shreeraj Apparels                    | Godhra            | Gujarat           |
|  580 | Shreeji Enterprise                        | Surat             | Gujarat           |
|  581 | ARVIND LIFESTYLE BRANDS LIMITED           | BANGALORE         | KARNATAKA         |
|  582 | Shreeji Enterprise                        | Surat             | Gujarat           |
|  583 | Eternalia Creative & Merchandising Pvt Ltd | Mumbai            | Maharashtra       |
|  584 | CANTABIL RETAIL INDIA LIMITED             | New Delhi         | Delhi             |
|  585 | Asiatic sourcing (OPC) pvt Ltd          | Bangalore         | Karnataka         |
|  586 | Messianic Clothing Pvt. Ltd.              | Noida             | Uttar Pradesh     |
|  587 | CrayonFlakes Design Pvt Ltd.              | Noida             | UP                |
|  588 | LIL PITAARA                               | Matunga           | Maharashtra       |
|  589 | Lifestyle Int Pvt Ltd                     | Bangalore         | Karnataka         |
|  590 | Dutt Creation                             | Surat             | Gujarat           |
|  591 | Meeshak Clothing LLP                      | Pune              | Maharashtra       |
|  592 | Universal creations                       | Tirupur           | Tamil Nadu        |
|  593 | Lavian LLP                                | Bangalore         | Karnataka         |
|  594 | HOME CANDY - SJIT                         | Panipat           | HARYANA           |
|  595 | Silhouette Fashions                       | Tirupur           | Tamil Nadu        |
|  596 | Carnation Creations Private Limited       | Coimbatore        | IN                |
|  597 | QUANTUM KNITS                             | Coimbatore        | Tamil Nadu        |
|  598 | Miniklub Retail Pvt Ltd                   | Bangalore         | Karnataka         |
|  599 | ARDEUR FASHIONS                           | Tirupur           | Tamil Nadu        |
|  600 | Miniklub Retail Pvt Ltd                   | Bangalore         | Karnataka         |
|  601 | Imperial Online Services Pvt Ltd          | Hyderabad         | Telangana         |
|  602 | Kotemoda Lifestyle Pvt Ltd.               | Bangalore         | Karnataka         |
|  603 | Googo Gaaga Online Services Pvt Ltd       | New Delhi         | Delhi             |
|  604 | Fashion Dream                             | Udhna             | Surat             |
|  605 | -                                         | Indore            | Madhya Pradesh    |
|  606 | BAESD                                     | Delhi             | Delhi             |
|  607 | OM CASUAL                                 | DELHI             | DELHI             |
|  608 | BAESD                                     | Surat             | Gujarat           |
|  609 | BUGANDBEES                                | Noida             | U.P               |
|  610 | MOOZOO FASHIONS PVT. LTD.                 | Howrah            | West Bengal       |
|  611 | MAGADH TECHNO SERVICES PRIVATE LIMITED    | NEW DELHI         | DELHI             |
